trial_id,observer_id,observer_cohort,evaluation_dimension,artwork_id,left_method,right_method,selected_position,winner_method,loser_method
T000059,E01,Faculty,Visual Harmony,IMG20260430104348,Reinhard,M4,Right,M4,Reinhard
T000060,E01,Faculty,Visual Harmony,IMG20260430104352,M1,M4,Right,M4,M1
T000061,E01,Faculty,Visual Harmony,IMG20260430104113,M4,M0,Left,M4,M0
T000062,E01,Faculty,Style Authenticity,IMG20260430104352,DDColor,Reinhard,Left,DDColor,Reinhard
T000063,E01,Faculty,Style Authenticity,IMG20260430102902,M1,M0,Left,M1,M0
T000064,E01,Faculty,Visual Harmony,IMG20260430104352,M0,M1,Left,M0,M1
T000065,E01,Faculty,Visual Harmony,IMG20260430104348,Reinhard,M1,Right,M1,Reinhard
T000066,E01,Faculty,Visual Harmony,IMG20260430102902,M1,M4,Right,M4,M1
T000067,E01,Faculty,Style Authenticity,IMG20260430103113,Reinhard,DDColor,Left,Reinhard,DDColor
T000068,E01,Faculty,Style Authenticity,IMG20260430103043,M4,M1,Left,M4,M1
T000069,E01,Faculty,Style Authenticity,IMG20260430103656,DDColor,M4,Right,M4,DDColor
T000070,E01,Faculty,Visual Harmony,IMG20260430104410,M1,M4,Left,M1,M4
T000071,E01,Faculty,Style Authenticity,IMG20260430103755,M4,M0,Right,M0,M4
T000072,E01,Faculty,Visual Harmony,IMG20260430110350,M0,M4,Right,M4,M0
T000073,E01,Faculty,Visual Harmony,IMG20260430104410,Reinhard,M4,Left,Reinhard,M4
T000074,E01,Faculty,Style Authenticity,IMG20260430104410,M4,M1,Left,M4,M1
T000075,E01,Faculty,Visual Harmony,IMG20260430103656,DDColor,Reinhard,Left,DDColor,Reinhard
T000076,E01,Faculty,Visual Harmony,IMG20260430104352,M4,M0,Right,M0,M4
T000077,E01,Faculty,Style Authenticity,IMG20260430103656,DDColor,M1,Right,M1,DDColor
T000078,E01,Faculty,Visual Harmony,IMG20260430103656,M0,M4,Left,M0,M4
T000079,E01,Faculty,Visual Harmony,IMG20260430102920,M0,Reinhard,Left,M0,Reinhard
T000080,E01,Faculty,Visual Harmony,IMG20260430103043,M4,M0,Left,M4,M0
T000081,E01,Faculty,Visual Harmony,IMG20260430110350,M1,M0,Right,M0,M1
T000082,E01,Faculty,Visual Harmony,IMG20260430103755,M0,DDColor,Left,M0,DDColor
T000083,E01,Faculty,Visual Harmony,IMG20260430102920,M4,M1,Right,M1,M4
T000084,E01,Faculty,Visual Harmony,IMG20260430104113,M4,M1,Left,M4,M1
T000085,E01,Faculty,Style Authenticity,IMG20260430104113,M4,Reinhard,Right,Reinhard,M4
T000086,E01,Faculty,Style Authenticity,IMG20260430103656,M1,Reinhard,Right,Reinhard,M1
T000087,E01,Faculty,Style Authenticity,IMG20260430102902,M4,M1,Left,M4,M1
T000088,E01,Faculty,Visual Harmony,IMG20260430102902,M0,M1,Right,M1,M0
T000089,E01,Faculty,Visual Harmony,IMG20260430102920,M1,M0,Left,M1,M0
T000090,E01,Faculty,Style Authenticity,IMG20260430103113,M0,Reinhard,Left,M0,Reinhard
T000091,E01,Faculty,Style Authenticity,IMG20260430103043,DDColor,M4,Left,DDColor,M4
T000092,E01,Faculty,Visual Harmony,IMG20260430103435,Reinhard,M1,Right,M1,Reinhard
T000093,E01,Faculty,Style Authenticity,IMG20260430110350,M4,DDColor,Left,M4,DDColor
T000094,E01,Faculty,Style Authenticity,IMG20260430110350,Reinhard,M4,Right,M4,Reinhard
T000095,E01,Faculty,Style Authenticity,IMG20260430104410,M0,DDColor,Right,DDColor,M0
T000096,E01,Faculty,Visual Harmony,IMG20260430103755,M1,DDColor,Right,DDColor,M1
T000097,E01,Faculty,Visual Harmony,IMG20260430110350,Reinhard,M1,Right,M1,Reinhard
T000098,E01,Faculty,Style Authenticity,IMG20260430104410,M4,DDColor,Right,DDColor,M4
T000099,E01,Faculty,Style Authenticity,IMG20260430104348,Reinhard,M0,Right,M0,Reinhard
T000100,E01,Faculty,Style Authenticity,IMG20260430104352,M0,M4,Right,M4,M0
T000101,E01,Faculty,Visual Harmony,IMG20260430103113,M0,Reinhard,Left,M0,Reinhard
T000102,E01,Faculty,Style Authenticity,IMG20260430110350,M0,DDColor,Left,M0,DDColor
T000103,E01,Faculty,Style Authenticity,IMG20260430103435,M0,DDColor,Left,M0,DDColor
T000104,E01,Faculty,Visual Harmony,IMG20260430104113,M0,DDColor,Left,M0,DDColor
T000105,E01,Faculty,Visual Harmony,IMG20260430104410,Reinhard,M1,Left,Reinhard,M1
T000106,E01,Faculty,Visual Harmony,IMG20260430104352,M0,DDColor,Left,M0,DDColor
T000107,E01,Faculty,Visual Harmony,IMG20260430103113,M1,DDColor,Right,DDColor,M1
T000108,E01,Faculty,Visual Harmony,IMG20260430102902,M1,DDColor,Right,DDColor,M1
T000109,E01,Faculty,Visual Harmony,IMG20260430110350,DDColor,Reinhard,Left,DDColor,Reinhard
T000110,E01,Faculty,Style Authenticity,IMG20260430104113,Reinhard,M1,Left,Reinhard,M1
T000111,E01,Faculty,Style Authenticity,IMG20260430102902,M0,Reinhard,Left,M0,Reinhard
T000112,E01,Faculty,Visual Harmony,IMG20260430104348,M0,M1,Left,M0,M1
T000113,E01,Faculty,Style Authenticity,IMG20260430103043,DDColor,M1,Right,M1,DDColor
T000114,E01,Faculty,Visual Harmony,IMG20260430110350,M0,Reinhard,Left,M0,Reinhard
T000115,E01,Faculty,Visual Harmony,IMG20260430103113,M0,M1,Left,M0,M1
T000116,E01,Faculty,Visual Harmony,IMG20260430103656,M1,Reinhard,Right,Reinhard,M1
T000117,E01,Faculty,Visual Harmony,IMG20260430104113,M0,M1,Left,M0,M1
T000118,E01,Faculty,Style Authenticity,IMG20260430104348,M0,M4,Left,M0,M4
T000119,E01,Faculty,Style Authenticity,IMG20260430104348,Reinhard,M1,Right,M1,Reinhard
T000120,E01,Faculty,Visual Harmony,IMG20260430104352,Reinhard,M0,Right,M0,Reinhard
T000121,E01,Faculty,Visual Harmony,IMG20260430103435,Reinhard,DDColor,Left,Reinhard,DDColor
T000122,E01,Faculty,Visual Harmony,IMG20260430104113,Reinhard,M1,Right,M1,Reinhard
T000123,E01,Faculty,Visual Harmony,IMG20260430102902,M4,Reinhard,Right,Reinhard,M4
T000124,E01,Faculty,Style Authenticity,IMG20260430104410,M0,M4,Right,M4,M0
T000125,E01,Faculty,Style Authenticity,IMG20260430104113,M4,DDColor,Left,M4,DDColor
T000126,E01,Faculty,Style Authenticity,IMG20260430102902,DDColor,M1,Right,M1,DDColor
T000127,E01,Faculty,Style Authenticity,IMG20260430110350,M1,Reinhard,Left,M1,Reinhard
T000128,E01,Faculty,Style Authenticity,IMG20260430104348,M0,M1,Right,M1,M0
T000129,E01,Faculty,Visual Harmony,IMG20260430103435,M4,Reinhard,Right,Reinhard,M4
T000130,E01,Faculty,Visual Harmony,IMG20260430103755,M0,Reinhard,Left,M0,Reinhard
T000131,E01,Faculty,Style Authenticity,IMG20260430103656,Reinhard,M0,Left,Reinhard,M0
T000132,E01,Faculty,Style Authenticity,IMG20260430104410,M0,Reinhard,Left,M0,Reinhard
T000133,E01,Faculty,Visual Harmony,IMG20260430103656,M1,M4,Left,M1,M4
T000134,E01,Faculty,Style Authenticity,IMG20260430103755,M4,Reinhard,Left,M4,Reinhard
T000135,E01,Faculty,Style Authenticity,IMG20260430102902,M0,DDColor,Left,M0,DDColor
T000136,E01,Faculty,Visual Harmony,IMG20260430103043,M1,Reinhard,Right,Reinhard,M1
T000137,E01,Faculty,Visual Harmony,IMG20260430103656,M1,M0,Left,M1,M0
T000138,E01,Faculty,Style Authenticity,IMG20260430103043,DDColor,M0,Right,M0,DDColor
T000139,E01,Faculty,Style Authenticity,IMG20260430103435,Reinhard,DDColor,Right,DDColor,Reinhard
T000140,E01,Faculty,Visual Harmony,IMG20260430104348,DDColor,Reinhard,Left,DDColor,Reinhard
T000141,E01,Faculty,Visual Harmony,IMG20260430104352,Reinhard,DDColor,Right,DDColor,Reinhard
T000142,E01,Faculty,Visual Harmony,IMG20260430104352,M1,DDColor,Right,DDColor,M1
T000143,E01,Faculty,Visual Harmony,IMG20260430103656,M0,DDColor,Left,M0,DDColor
T000144,E01,Faculty,Style Authenticity,IMG20260430102920,DDColor,M0,Left,DDColor,M0
T000145,E01,Faculty,Style Authenticity,IMG20260430103043,M4,Reinhard,Right,Reinhard,M4
T000146,E01,Faculty,Visual Harmony,IMG20260430110350,DDColor,M1,Right,M1,DDColor
T000147,E01,Faculty,Visual Harmony,IMG20260430103656,DDColor,M4,Right,M4,DDColor
T000148,E01,Faculty,Visual Harmony,IMG20260430103113,M4,Reinhard,Right,Reinhard,M4
T000149,E01,Faculty,Style Authenticity,IMG20260430102920,M4,DDColor,Left,M4,DDColor
T000150,E01,Faculty,Style Authenticity,IMG20260430103113,M1,M0,Right,M0,M1
T000151,E01,Faculty,Style Authenticity,IMG20260430103755,M1,Reinhard,Right,Reinhard,M1
T000152,E01,Faculty,Style Authenticity,IMG20260430104352,M0,M1,Right,M1,M0
T000153,E01,Faculty,Style Authenticity,IMG20260430103755,Reinhard,M0,Right,M0,Reinhard
T000154,E01,Faculty,Visual Harmony,IMG20260430103755,M0,M4,Left,M0,M4
T000155,E01,Faculty,Style Authenticity,IMG20260430104410,Reinhard,M1,Right,M1,Reinhard
T000156,E01,Faculty,Visual Harmony,IMG20260430103435,DDColor,M4,Right,M4,DDColor
T000157,E01,Faculty,Visual Harmony,IMG20260430102902,M4,DDColor,Right,DDColor,M4
T000158,E01,Faculty,Style Authenticity,IMG20260430104348,M4,DDColor,Left,M4,DDColor
T000159,E01,Faculty,Style Authenticity,IMG20260430104348,DDColor,Reinhard,Left,DDColor,Reinhard
T000160,E01,Faculty,Style Authenticity,IMG20260430102920,M4,Reinhard,Left,M4,Reinhard
T000161,E01,Faculty,Style Authenticity,IMG20260430104352,M4,Reinhard,Right,Reinhard,M4
T000162,E01,Faculty,Style Authenticity,IMG20260430104348,DDColor,M0,Left,DDColor,M0
T000163,E01,Faculty,Style Authenticity,IMG20260430104113,M0,Reinhard,Left,M0,Reinhard
T000164,E01,Faculty,Visual Harmony,IMG20260430104410,M1,DDColor,Left,M1,DDColor
T000165,E01,Faculty,Visual Harmony,IMG20260430102920,DDColor,M4,Right,M4,DDColor
T000166,E01,Faculty,Visual Harmony,IMG20260430104352,M4,Reinhard,Left,M4,Reinhard
T000167,E01,Faculty,Style Authenticity,IMG20260430103755,M0,DDColor,Left,M0,DDColor
T000168,E01,Faculty,Style Authenticity,IMG20260430103113,Reinhard,M1,Left,Reinhard,M1
T000169,E01,Faculty,Visual Harmony,IMG20260430103656,Reinhard,M4,Right,M4,Reinhard
T000170,E01,Faculty,Style Authenticity,IMG20260430104113,M0,DDColor,Right,DDColor,M0
T000171,E01,Faculty,Style Authenticity,IMG20260430103435,M4,DDColor,Left,M4,DDColor
T000172,E01,Faculty,Visual Harmony,IMG20260430104348,M4,DDColor,Left,M4,DDColor
T000173,E01,Faculty,Visual Harmony,IMG20260430102902,Reinhard,M1,Right,M1,Reinhard
T000174,E01,Faculty,Visual Harmony,IMG20260430104348,M1,DDColor,Left,M1,DDColor
T000175,E01,Faculty,Style Authenticity,IMG20260430102920,Reinhard,M0,Left,Reinhard,M0
T000176,E01,Faculty,Style Authenticity,IMG20260430103435,M4,M1,Left,M4,M1
T000177,E01,Faculty,Visual Harmony,IMG20260430104113,Reinhard,M4,Right,M4,Reinhard
T000178,E01,Faculty,Visual Harmony,IMG20260430103755,Reinhard,DDColor,Left,Reinhard,DDColor
T000179,E01,Faculty,Visual Harmony,IMG20260430103043,M1,M4,Right,M4,M1
T000180,E01,Faculty,Visual Harmony,IMG20260430103435,M0,M4,Right,M4,M0
T000181,E01,Faculty,Visual Harmony,IMG20260430104352,M4,DDColor,Right,DDColor,M4
T000182,E01,Faculty,Style Authenticity,IMG20260430110350,M1,M4,Right,M4,M1
T000183,E01,Faculty,Style Authenticity,IMG20260430104113,M4,M0,Right,M0,M4
T000184,E01,Faculty,Style Authenticity,IMG20260430103435,M0,Reinhard,Left,M0,Reinhard
T000185,E01,Faculty,Style Authenticity,IMG20260430102902,Reinhard,DDColor,Right,DDColor,Reinhard
T000186,E01,Faculty,Visual Harmony,IMG20260430103435,M1,M4,Left,M1,M4
T000187,E01,Faculty,Visual Harmony,IMG20260430104410,M0,Reinhard,Left,M0,Reinhard
T000188,E01,Faculty,Visual Harmony,IMG20260430103113,M1,Reinhard,Left,M1,Reinhard
T000189,E01,Faculty,Visual Harmony,IMG20260430104113,M4,DDColor,Right,DDColor,M4
T000190,E01,Faculty,Style Authenticity,IMG20260430103043,M1,M0,Right,M0,M1
T000191,E01,Faculty,Style Authenticity,IMG20260430104113,Reinhard,DDColor,Right,DDColor,Reinhard
T000192,E01,Faculty,Visual Harmony,IMG20260430103113,M4,M0,Right,M0,M4
T000193,E01,Faculty,Visual Harmony,IMG20260430104113,DDColor,M1,Left,DDColor,M1
T000194,E01,Faculty,Style Authenticity,IMG20260430103435,Reinhard,M1,Right,M1,Reinhard
T000195,E01,Faculty,Style Authenticity,IMG20260430104410,Reinhard,DDColor,Right,DDColor,Reinhard
T000196,E01,Faculty,Style Authenticity,IMG20260430104352,M1,Reinhard,Left,M1,Reinhard
T000197,E01,Faculty,Style Authenticity,IMG20260430104352,DDColor,M4,Right,M4,DDColor
T000198,E01,Faculty,Visual Harmony,IMG20260430102902,DDColor,Reinhard,Left,DDColor,Reinhard
T000199,E01,Faculty,Visual Harmony,IMG20260430104352,M1,Reinhard,Left,M1,Reinhard
T000200,E01,Faculty,Visual Harmony,IMG20260430104348,M0,Reinhard,Right,Reinhard,M0
T000201,E01,Faculty,Style Authenticity,IMG20260430104348,M4,Reinhard,Left,M4,Reinhard
T000202,E01,Faculty,Style Authenticity,IMG20260430103043,DDColor,Reinhard,Right,Reinhard,DDColor
T000203,E01,Faculty,Visual Harmony,IMG20260430103656,Reinhard,M0,Left,Reinhard,M0
T000204,E01,Faculty,Visual Harmony,IMG20260430103435,M0,M1,Right,M1,M0
T000205,E01,Faculty,Visual Harmony,IMG20260430102920,Reinhard,M4,Right,M4,Reinhard
T000206,E01,Faculty,Style Authenticity,IMG20260430103113,M4,Reinhard,Left,M4,Reinhard
T000207,E01,Faculty,Visual Harmony,IMG20260430103043,M0,M1,Left,M0,M1
T000208,E01,Faculty,Visual Harmony,IMG20260430103113,M1,M4,Right,M4,M1
T000209,E01,Faculty,Visual Harmony,IMG20260430102920,Reinhard,M1,Right,M1,Reinhard
T000210,E01,Faculty,Visual Harmony,IMG20260430104113,Reinhard,DDColor,Left,Reinhard,DDColor
T000211,E01,Faculty,Visual Harmony,IMG20260430102920,M1,DDColor,Right,DDColor,M1
T000212,E01,Faculty,Visual Harmony,IMG20260430110350,M4,Reinhard,Left,M4,Reinhard
T000213,E01,Faculty,Visual Harmony,IMG20260430110350,M1,M4,Right,M4,M1
T000214,E01,Faculty,Style Authenticity,IMG20260430102920,M1,Reinhard,Left,M1,Reinhard
T000215,E01,Faculty,Style Authenticity,IMG20260430102920,M0,M1,Left,M0,M1
T000216,E01,Faculty,Visual Harmony,IMG20260430103755,M0,M1,Right,M1,M0
T000217,E01,Faculty,Style Authenticity,IMG20260430104352,Reinhard,M0,Left,Reinhard,M0
T000218,E01,Faculty,Visual Harmony,IMG20260430104410,M4,M0,Right,M0,M4
T000219,E01,Faculty,Style Authenticity,IMG20260430104113,M1,M4,Right,M4,M1
T000220,E01,Faculty,Visual Harmony,IMG20260430110350,DDColor,M4,Right,M4,DDColor
T000221,E01,Faculty,Style Authenticity,IMG20260430103043,M0,M4,Right,M4,M0
T000222,E01,Faculty,Style Authenticity,IMG20260430103435,M1,DDColor,Right,DDColor,M1
T000223,E01,Faculty,Style Authenticity,IMG20260430102920,M4,M0,Right,M0,M4
T000224,E01,Faculty,Visual Harmony,IMG20260430103043,DDColor,M4,Right,M4,DDColor
T000225,E01,Faculty,Style Authenticity,IMG20260430102902,Reinhard,M4,Right,M4,Reinhard
T000226,E01,Faculty,Style Authenticity,IMG20260430102920,M1,DDColor,Right,DDColor,M1
T000227,E01,Faculty,Style Authenticity,IMG20260430104352,DDColor,M0,Right,M0,DDColor
T000228,E01,Faculty,Visual Harmony,IMG20260430103755,M1,M4,Right,M4,M1
T000229,E01,Faculty,Style Authenticity,IMG20260430103435,Reinhard,M4,Left,Reinhard,M4
T000230,E01,Faculty,Style Authenticity,IMG20260430103113,M4,M0,Right,M0,M4
T000231,E01,Faculty,Visual Harmony,IMG20260430104410,DDColor,M0,Right,M0,DDColor
T000232,E01,Faculty,Visual Harmony,IMG20260430103043,M1,DDColor,Left,M1,DDColor
T000233,E01,Faculty,Visual Harmony,IMG20260430103043,M0,DDColor,Left,M0,DDColor
T000234,E01,Faculty,Visual Harmony,IMG20260430102902,Reinhard,M0,Right,M0,Reinhard
T000235,E01,Faculty,Style Authenticity,IMG20260430104113,M0,M1,Left,M0,M1
T000236,E01,Faculty,Visual Harmony,IMG20260430103113,M0,DDColor,Right,DDColor,M0
T000237,E01,Faculty,Visual Harmony,IMG20260430103113,Reinhard,DDColor,Right,DDColor,Reinhard
T000238,E01,Faculty,Visual Harmony,IMG20260430103755,Reinhard,M4,Left,Reinhard,M4
T000239,E01,Faculty,Style Authenticity,IMG20260430103656,M0,M4,Right,M4,M0
T000240,E01,Faculty,Visual Harmony,IMG20260430104410,Reinhard,DDColor,Right,DDColor,Reinhard
T000241,E02,Faculty,Visual Harmony,IMG20260430104410,M0,M1,Right,M1,M0
T000242,E02,Faculty,Style Authenticity,IMG20260430103755,Reinhard,DDColor,Right,DDColor,Reinhard
T000243,E02,Faculty,Style Authenticity,IMG20260430103113,M4,DDColor,Left,M4,DDColor
T000244,E02,Faculty,Style Authenticity,IMG20260430103113,M4,M0,Left,M4,M0
T000245,E02,Faculty,Style Authenticity,IMG20260430104113,DDColor,M4,Right,M4,DDColor
T000246,E02,Faculty,Style Authenticity,IMG20260430104410,DDColor,M4,Right,M4,DDColor
T000247,E02,Faculty,Style Authenticity,IMG20260430104348,DDColor,M4,Right,M4,DDColor
T000248,E02,Faculty,Style Authenticity,IMG20260430103435,M1,M4,Right,M4,M1
T000249,E02,Faculty,Style Authenticity,IMG20260430103043,M0,DDColor,Left,M0,DDColor
T000250,E02,Faculty,Visual Harmony,IMG20260430104348,M0,DDColor,Left,M0,DDColor
T000251,E02,Faculty,Style Authenticity,IMG20260430104348,M0,M1,Left,M0,M1
T000252,E02,Faculty,Visual Harmony,IMG20260430103043,M4,M1,Left,M4,M1
T000253,E02,Faculty,Style Authenticity,IMG20260430102902,M0,Reinhard,Left,M0,Reinhard
T000254,E02,Faculty,Visual Harmony,IMG20260430110350,M0,Reinhard,Left,M0,Reinhard
T000255,E02,Faculty,Style Authenticity,IMG20260430103435,Reinhard,M0,Right,M0,Reinhard
T000256,E02,Faculty,Visual Harmony,IMG20260430103656,M1,DDColor,Right,DDColor,M1
T000257,E02,Faculty,Visual Harmony,IMG20260430103113,M1,M0,Left,M1,M0
T000258,E02,Faculty,Style Authenticity,IMG20260430102902,M4,M0,Right,M0,M4
T000259,E02,Faculty,Visual Harmony,IMG20260430102920,DDColor,M0,Right,M0,DDColor
T000260,E02,Faculty,Style Authenticity,IMG20260430103656,DDColor,M0,Right,M0,DDColor
T000261,E02,Faculty,Visual Harmony,IMG20260430104348,M4,M1,Left,M4,M1
T000262,E02,Faculty,Visual Harmony,IMG20260430103435,M0,Reinhard,Left,M0,Reinhard
T000263,E02,Faculty,Style Authenticity,IMG20260430102902,M0,M1,Right,M1,M0
T000264,E02,Faculty,Style Authenticity,IMG20260430104113,Reinhard,M1,Right,M1,Reinhard
T000265,E02,Faculty,Style Authenticity,IMG20260430103113,DDColor,M0,Right,M0,DDColor
T000266,E02,Faculty,Visual Harmony,IMG20260430102902,M4,DDColor,Left,M4,DDColor
T000267,E02,Faculty,Visual Harmony,IMG20260430104348,M1,Reinhard,Right,Reinhard,M1
T000268,E02,Faculty,Visual Harmony,IMG20260430104410,Reinhard,M4,Left,Reinhard,M4
T000269,E02,Faculty,Visual Harmony,IMG20260430103755,M1,M4,Right,M4,M1
T000270,E02,Faculty,Style Authenticity,IMG20260430103755,DDColor,M1,Left,DDColor,M1
T000271,E02,Faculty,Style Authenticity,IMG20260430103656,M4,Reinhard,Left,M4,Reinhard
T000272,E02,Faculty,Visual Harmony,IMG20260430103755,Reinhard,M4,Right,M4,Reinhard
T000273,E02,Faculty,Visual Harmony,IMG20260430102902,DDColor,Reinhard,Left,DDColor,Reinhard
T000274,E02,Faculty,Style Authenticity,IMG20260430104410,Reinhard,DDColor,Left,Reinhard,DDColor
T000275,E02,Faculty,Visual Harmony,IMG20260430104410,M0,DDColor,Left,M0,DDColor
T000276,E02,Faculty,Visual Harmony,IMG20260430103755,DDColor,M0,Right,M0,DDColor
T000277,E02,Faculty,Style Authenticity,IMG20260430104410,M0,M4,Right,M4,M0
T000278,E02,Faculty,Style Authenticity,IMG20260430104348,DDColor,M0,Right,M0,DDColor
T000279,E02,Faculty,Style Authenticity,IMG20260430103113,M1,M0,Right,M0,M1
T000280,E02,Faculty,Visual Harmony,IMG20260430103043,M4,DDColor,Left,M4,DDColor
T000281,E02,Faculty,Visual Harmony,IMG20260430103755,M0,Reinhard,Left,M0,Reinhard
T000282,E02,Faculty,Visual Harmony,IMG20260430104410,M4,M0,Right,M0,M4
T000283,E02,Faculty,Style Authenticity,IMG20260430102902,DDColor,M4,Right,M4,DDColor
T000284,E02,Faculty,Visual Harmony,IMG20260430103656,Reinhard,M0,Left,Reinhard,M0
T000285,E02,Faculty,Visual Harmony,IMG20260430104410,M1,M4,Right,M4,M1
T000286,E02,Faculty,Visual Harmony,IMG20260430104348,M0,M4,Right,M4,M0
T000287,E02,Faculty,Visual Harmony,IMG20260430102902,M0,M4,Right,M4,M0
T000288,E02,Faculty,Style Authenticity,IMG20260430103043,M1,M4,Right,M4,M1
T000289,E02,Faculty,Visual Harmony,IMG20260430103113,DDColor,M4,Left,DDColor,M4
T000290,E02,Faculty,Visual Harmony,IMG20260430110350,M1,M0,Left,M1,M0
