work_id,filename,original_split,suggested_split,work_cluster_id,cluster_size,cluster_basis,orientation_proxy,quality_band_proxy,dominant_hue_bin_12_proxy,seed,stratification_limitation
zhx_e5bf04eb984fe59f,IMG20260430102849.png,train,val,precautionary_cluster_0384,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_84bf7a16f6874f06,IMG20260430102902.png,train,test,precautionary_cluster_0234,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_2ed466c73be51430,IMG20260430102912.png,train,train,precautionary_cluster_0090,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_20c620ed596999a5,IMG20260430102916.png,train,train,precautionary_cluster_0068,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_b458589fb9906c8f,IMG20260430102920.png,train,test,precautionary_cluster_0306,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_52874347adb8d52a,IMG20260430102938.png,train,val,precautionary_cluster_0146,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_b535f976f0e98a10,IMG20260430102942.png,train,train,precautionary_cluster_0308,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_caa414e27f51dcfe,IMG20260430103026.png,train,train,precautionary_cluster_0343,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_79b2cb3744b8d925,IMG20260430103034.png,train,train,precautionary_cluster_0221,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_2c1e6a71f604a26f,IMG20260430103038.png,train,train,precautionary_cluster_0086,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_73b81f54c98960fd,IMG20260430103043.png,train,test,precautionary_cluster_0212,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),square,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_e661ddfa35e3dfeb,IMG20260430103049.png,train,train,precautionary_cluster_0387,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_a8fe4b03e7beddc5,IMG20260430103109.png,train,val,precautionary_cluster_0287,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,5,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_f49a823e9ce745c3,IMG20260430103113.png,train,test,precautionary_cluster_0414,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,8,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_f3405bfefa8b50c5,IMG20260430103117.png,train,train,precautionary_cluster_0002,3,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_c6792ae8dbeabf86,IMG20260430103124.png,train,train,precautionary_cluster_0333,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_fc07b8e7948bc0cb,IMG20260430103131.png,train,val,precautionary_cluster_0425,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_e60b1b56a1a19957,IMG20260430103136.png,train,val,precautionary_cluster_0386,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_667aa602e928b652,IMG20260430103149.png,train,train,precautionary_cluster_0016,2,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_85883563207d0203,IMG20260430103246.png,train,val,precautionary_cluster_0236,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_1ad267680e158b2e,IMG20260430103253.png,train,train,precautionary_cluster_0062,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_e70238694cee2324,IMG20260430103303.png,train,train,precautionary_cluster_0388,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_ca288b194da33a72,IMG20260430103326.png,train,train,precautionary_cluster_0342,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_d548567e1ec4f57c,IMG20260430103332.png,train,train,precautionary_cluster_0363,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_c0e7a605ba0bbfcd,IMG20260430103348.png,train,train,precautionary_cluster_0323,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_e887e3ec86e57939,IMG20260430103355.png,train,train,precautionary_cluster_0390,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,4,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_4f5d9c5ef1dd952f,IMG20260430103401.png,train,train,precautionary_cluster_0140,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_1268960c2e58215b,IMG20260430103415.png,train,train,precautionary_cluster_0047,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_fbc433c875d27307,IMG20260430103422.png,train,val,precautionary_cluster_0424,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_8796f2c7af93b60b,IMG20260430103429.png,train,train,precautionary_cluster_0239,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,4,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_43358b3b871d246e,IMG20260430103435.png,train,test,precautionary_cluster_0124,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_ffe354d11d688558,IMG20260430103444.png,train,train,precautionary_cluster_0430,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,5,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_d8f412c208b3cdcf,IMG20260430103450.png,train,val,precautionary_cluster_0371,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,5,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_c72001786d4ee671,IMG20260430103455.png,train,train,precautionary_cluster_0335,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_3bb1c612ddf5f436,IMG20260430103508.png,train,train,precautionary_cluster_0112,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_560d61a87e44102e,IMG20260430103518.png,train,train,precautionary_cluster_0153,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_796308c691d1d9fe,IMG20260430103524.png,train,train,precautionary_cluster_0220,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_183e71f0860afb78,IMG20260430103535.png,train,train,precautionary_cluster_0056,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,8,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_5c4326089591e505,IMG20260430103544.png,train,train,precautionary_cluster_0165,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_ad1fac108f4e2b83,IMG20260430103552.png,train,train,precautionary_cluster_0291,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_67566150c7d2f2f5,IMG20260430103607.png,train,val,precautionary_cluster_0186,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_b115673927e97673,IMG20260430103616.png,train,train,precautionary_cluster_0022,2,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_1321017eaff0be97,IMG20260430103620.png,train,train,precautionary_cluster_0048,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_83382717d5473ea9,IMG20260430103627.png,train,train,precautionary_cluster_0231,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,4,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_22f941867dbb7c10,IMG20260430103631.png,train,train,precautionary_cluster_0074,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_9fa17a25744274b1,IMG20260430103637.png,train,train,precautionary_cluster_0273,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,5,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_46efb4a74c545cf4,IMG20260430103640.png,train,train,precautionary_cluster_0130,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_dae871c1389d58c1,IMG20260430103644.png,train,train,precautionary_cluster_0372,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_5ed6f5a623eed36d,IMG20260430103656.png,train,test,precautionary_cluster_0168,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_59674e632e1c309d,IMG20260430103701.png,train,train,precautionary_cluster_0159,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_0425e2029c6d888f,IMG20260430103714.png,train,train,precautionary_cluster_0029,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_9b6139052168bf0c,IMG20260430103716.png,train,train,precautionary_cluster_0269,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_0192eb327e43806a,IMG20260430103723.png,train,val,precautionary_cluster_0027,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_41ce32efbb82daf6,IMG20260430103727.png,train,val,precautionary_cluster_0121,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_ec280ee0d347ab97,IMG20260430103732.png,train,train,precautionary_cluster_0398,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,8,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_1dcf70e5cb62d35a,IMG20260430103734.png,train,train,precautionary_cluster_0066,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_2b75e389deb848e9,IMG20260430103740.png,train,train,precautionary_cluster_0085,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,4,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_a84a7ed75e96871d,IMG20260430103747.png,train,train,precautionary_cluster_0285,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_ab84bb54ed01c7f3,IMG20260430103755.png,train,test,precautionary_cluster_0288,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,5,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_506160daab8edc62,IMG20260430103818.png,train,train,precautionary_cluster_0141,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),landscape,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_2cd3de2e80edc04b,IMG20260430103852.png,train,train,precautionary_cluster_0089,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_53d366da81dc7151,IMG20260430103956.png,train,train,precautionary_cluster_0148,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_82b0a245d1aaa70a,IMG20260430104004.png,train,train,precautionary_cluster_0229,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_f33063e54ee7c95d,IMG20260430104057.png,train,train,precautionary_cluster_0410,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_9a74ce318a4c814b,IMG20260430104106.png,train,train,precautionary_cluster_0265,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_22671e2b058b9a6b,IMG20260430104113.png,train,test,precautionary_cluster_0072,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_15cd9f190c7cdff2,IMG20260430104120.png,train,train,precautionary_cluster_0053,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_2650880f8b160984,IMG20260430104126.png,train,train,precautionary_cluster_0008,2,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_268f2b4d2110d65a,IMG20260430104126_01.png,train,train,precautionary_cluster_0008,2,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_fb455ff53535249e,IMG20260430104134.png,train,val,precautionary_cluster_0423,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_5142ecaebb3199df,IMG20260430104140.png,train,train,precautionary_cluster_0142,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_b7f93c31f1722fa7,IMG20260430104153.png,train,train,precautionary_cluster_0312,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_d433fc73bf34a467,IMG20260430104200.png,train,train,precautionary_cluster_0361,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_9147edfc0d276276,IMG20260430104206.png,train,train,precautionary_cluster_0255,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,6,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_28b5bbb09d176789,IMG20260430104228.png,train,train,precautionary_cluster_0080,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_553633df6372d5c2,IMG20260430104335.png,train,val,precautionary_cluster_0150,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_b9ed512a5653e21a,IMG20260430104348.png,train,test,precautionary_cluster_0313,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_214fac75c07694b5,IMG20260430104352.png,train,test,precautionary_cluster_0070,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_b721e37c17cde424,IMG20260430104403.png,train,train,precautionary_cluster_0311,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,6,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_322b316f073cd493,IMG20260430104410.png,train,test,precautionary_cluster_0095,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,6,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_c0fc4a3983b01fb0,IMG20260430104431.png,train,train,precautionary_cluster_0324,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,7,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_2c5d23001ed3d831,IMG20260430104503.png,train,train,precautionary_cluster_0010,2,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_56e1c0eeec451c2a,IMG20260430104536.png,train,train,precautionary_cluster_0156,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_bb0d24eea588bbdf,IMG20260430104544.png,train,train,precautionary_cluster_0316,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_554e2e58f3bc45a2,IMG20260430104612.png,train,train,precautionary_cluster_0151,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,8,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_126351e0590279e4,IMG20260430104620.png,train,train,precautionary_cluster_0046,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_b5fa561a35e9cc6b,IMG20260430104624.png,train,train,precautionary_cluster_0309,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_ed3b862b3e884af1,IMG20260430104628.png,train,train,precautionary_cluster_0402,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_a77eac5ed6da6f0b,IMG20260430104641.png,train,train,precautionary_cluster_0284,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_ed764444938b9492,IMG20260430105248.png,train,train,precautionary_cluster_0403,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,one_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_4478939ddf50041a,IMG20260430105252.png,train,train,precautionary_cluster_0126,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,one_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_f446909965e31dd9,IMG20260430105404.png,train,test,precautionary_cluster_0412,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_35bb401a3fd4ded1,IMG20260430105409.png,train,train,precautionary_cluster_0012,2,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_2e607166d55b3cd3,IMG20260430105411.png,train,train,precautionary_cluster_0011,2,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_abf1bc9ce428cc8d,IMG20260430105424.png,train,train,precautionary_cluster_0290,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_6a8982b8936cdde0,IMG20260430105450.png,train,train,precautionary_cluster_0194,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_7a957d5a4ca98e18,IMG20260430105501.png,train,train,precautionary_cluster_0222,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,5,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_67829a66280e672b,IMG20260430105504.png,train,train,precautionary_cluster_0188,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,6,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_1969b920ae2da282,IMG20260430105506.png,train,test,precautionary_cluster_0059,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_eea485672e850d11,IMG20260430105520.png,train,train,precautionary_cluster_0405,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,11,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_51b1c0025c7da73b,IMG20260430105522.png,train,test,precautionary_cluster_0144,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,1,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
zhx_dfff00d0637db8bd,IMG20260430105526.png,train,train,precautionary_cluster_0378,1,verified duplicates plus unresolved suspected same-plate/capture pairs (precautionary),portrait,no_flag,0,20260731,"No subject labels; uses orientation, objective quality band, and dominant hue bin proxies only."
